"name","url","description"
"Books and Beans","http://www.booksandbeans.co.uk","Aberdeen "
"The Pocket","https://www.thepocket.coffee","Belfast"
"Yorks","https://www.yorkscafe.co.uk","Birmingham"
"Small Street","https://www.smallstreetespresso.co.uk","Bristol"
"Harts Bakery","http://www.hartsbakery.co.uk/","Bristol (Temple Meads)"
"Hard Lines","https://hard-lines.co.uk/","Cardiff"
"Little Man ","http://www.littlemancoffee.co.uk/","Cardiff"
"The Scandinavian Coffee Pod","https://www.thescandinaviancoffeepod.com","Cheltenham "
"Cairngorm Coffee","https://www.cairngormcoffee.com","Edinburgh "
"Exploding Bakery","https://explodingbakery.com/","Exeter"
"McCune Smith","http://www.mccunesmith.co.uk/","Glasgow"
"200 degrees","https://200degs.com/leeds-bond-street","Leeds"
"Treves & Hyde","https://trevesandhyde.com/","London Aldgate East"
"Kioskafe","http://kioskafe.com","London Paddington"
"Ready!?","http://readycoffeeshop.lu/wordpress/","Luxembourg "
"Siop Shop","https://twitter.com/siopshop","Manchester"
"Takk","http://takkmcr.com","Manchester "
"Idle Hands","http://www.idlehandscoffee.com/","Manchester "
"Quay Ingredient","http://quayingredient.co.uk/","Newcastle"
"Workhouse Coffee","http://workhousecoffee.co.uk/","Reading"
"Foundry","https://m.facebook.com/foundrycoffeeroasterscoffeeshop/","Sheffield "
"Temper","https://tampercoffee.co.uk/","Sheffield "
"Square Peg","https://www.squarepeg.org.uk/","Swansea"
"Create Cafe","https://www.createcafewakefield.co.uk/","Wakefield"
