"name","url","description"
"Adding value, by adding values","https://public.digital/2018/11/29/adding-value-by-adding-values/","This week I had the great honour of being named by the RSA as the first Royal Designer for Industry for Service Design. My hope is to inspire the next generation of designers, just as the current Royal Designers for Industry have inspired me."
"Design native userflows right inside Figma and Sketch with Flowkit 2.0","https://medium.com/bymds/flowkit-1e195759a2b6","Drawing and editing lots of lines and boxes for user flows in any design tool is is a real pain. If you’ve ever done it, you know what I’m talking about. Even if you manage to get it done for your current project, there’s always the next project that needs almost the same treatment."
"Releasing Design Systems","https://medium.com/eightshapes-llc/releasing-design-systems-57fca91a23f6","Companies realize a design system’s value when adopting products use a system to make and ship experiences that their customers use. As a part of that value chain, the system releases features over time. This puts the system into the hands of its customer: designers and engineers doing their job."
"Reluctant Gatekeeping: The Problem With Full Stack","https://medium.com/@Heydon/reluctant-gatekeeping-the-problem-with-full-stack-e9ad836570f6","Much of my career as a web designer has been spent, quite happily, working alongside programmers, engineers, people with computer science degrees. In this symbiotic relationship, each party has a secure job with a well-defined role, and gets to work on the thing they are best at and enjoy the most."
"Prototypes and production","https://adactio.com/journal/14562","When we do front-end development at Clearleft, we’re usually delivering production code, often in the form of a component library. That means our priorities are performance, accessibility, robustness, and other markers of quality when it comes to web development."
"Accessible SVG Icons with Inline Sprites","https://www.24a11y.com/2018/accessible-svg-icons-with-inline-sprites/","If we were searching for reasons to use icons on a project, we don’t need to go far in order to find them."
"Unlocking Accessibility for UX/UI Designers","https://www.24a11y.com/2018/unlocking-accessibility-for-ux-ui-designers/","Tap, tap, one, two… is this thing on? Ahem … My dear designer friends, I have a confession to make, on behalf on anyone who’s ever worked in the field of digital accessibility. We, the accessibility community, have been lying to you for the better part of the last twenty years."
"An Alfred Workflow for WebPageTest","https://timkadlec.com/remembers/2018-12-06-using-webpagetest-with-alfred/","By now, I have to be on record at least a few thousand times in saying that WebPageTest.org is an absurdly valuable tool. Pat gave the performance community an incredible gift by building it and making it available to the broader community for free. I spend a lot of time in WebPageTest."
"Sketch plugin for charts","https://github.com/smallmultiples/sketch-chippencharts","This is a Sketch plugin for creating charts with random data for use in mockups. Change the size of selected rectangles. Chose between random and linear. Works for both horizontal and vertical bar charts. Made with love by Small Multiples in Chippendale."
"About HTML semantics and front-end architecture","http://nicolasgallagher.com/about-html-semantics-front-end-architecture/","A collection of thoughts, experiences, ideas that I like, and ideas that I have been experimenting with over the last year. It covers HTML semantics, components and approaches to front-end architecture, class naming patterns, and HTTP compression."
