name,url,description
The problem with the service lifecycle,https://medium.com/@sanjaypoyzer/the-problem-with-the-service-lifecycle-5efe278f5119,One of the things that GDS is most well known for is the coining of the Agile delivery phases. But this image of services coming out of nowhere is just not true to life. Government services are very rarely completely new.
How the BBC Visual and Data Journalism team works with graphics in R,https://medium.com/bbc-visual-and-data-journalism/how-the-bbc-visual-and-data-journalism-team-works-with-graphics-in-r-ed0b35693535,"Over the past year, data journalists on the BBC Visual and Data Journalism team have fundamentally changed how they produce graphics for publication on the BBC News website."
Don’t feel like an expert? Share anyway.,https://medium.com/@sara_ann_marie/dont-feel-like-an-expert-share-anyway-661f2f8cd038,"Last fall, Katel LeDu and I asked more than 200 people about their experiences with professional visibility in the tech and design communities—including what was hard about it."
Dudes and tools,https://andy-bell.design/notes/125/,"I wish dudes (it’s always dudes) would be as protective about #a11y, progressive enhancement (and people in general) as much as they are about their favourite tools. This feeling has been amplified 10X since I pushed https://npm-uninstall-facebook.com out."
A reading list for “The World-Wide Work.” — ethanmarcotte.com,https://ethanmarcotte.com/wrote/a-reading-list-the-world-wide-work/,"These days, it’s easy to feel overwhelmed. The tech industry is facing a veritable raft of ethical, moral, and political crises. Automation and industrialization are reshaping our world. And sitting in the middle of all that? You and me."
"Beyond human-centred design, to?",https://medium.com/@cassierobinson/beyond-human-centred-design-to-501a994f3123,"Just over a year ago I wrote a blog post called “Putting users first is not the answer to everything” — it’s been popular — in fact it’s Doteveryone’s second most read blog post, with over 6,000 reads."
The Web Is Agreement,https://adactio.com/articles/14321,This presentation on web standards was delivered at the State Of The Browser conference in London in September 2018.   Web standards don’t exist.
progression.fyi,http://www.progression.fyi,"progression.fyi Public and open source frameworks to help designers and engineers with personal growth. What the hell?Contribute An incredibly in-depth set of tools, blog posts and frameworks to assess engineering levels at publishing platform Medium."
CSS hover only where supported,https://andy-bell.design/links/112/,"This is super handy. You can use @media` to detect hover support, so then, your hover states won’t get “stuck” on touch/mobile. Big props to @NickColley for sharing this."
Tables and Beers,https://www.24a11y.com/2018/tables-and-beers/,"It’s end of 2018, table markup has been with us since HTML 3.2 circa 1997."
Our visit to the Digital Accessibility Centre for CCS Crown Marketplace,https://www.dxw.com/2019/02/our-visit-to-digital-accessibility-centre-for-ccs-crown-marketplace/,We have been working with the Crown Commercial Service to develop a new service for schools to find supply teachers and other agency staff. The new commercial deal helps schools get value for money and avoid fees for things like transferring temporary staff into permanent roles.
Don't mistake volume for confidence,https://amyhupe.co.uk/articles/dont-mistake-volume-for-confidence/,I’ve found myself talking about anxiety recently with a few people who didn’t know I suffer with it. There’s no special reason for them not knowing. I stopped trying to hide my anxiety a good few years ago – I just don’t feel compelled to talk about it much.
Accessibility Cheatsheet,https://moritzgiessmann.de/accessibility-cheatsheet,"Semantic HTML helps screenreader users to understand the contents structure and gives it meaning. Ask yourself ""What is it?"" when writing HTML. Use a logical headline order and structuring elements as header, footer, ul, p … Every content not represented by text is invisbible for screen readers."
Pee and poo and the language of health,https://digital.nhs.uk/blog/transformation-blog/2019/pee-and-poo-and-the-language-of-health,"People come to the NHS website to get answers to their questions about health, so they need web pages that are easy to understand. The content designers who write our pages know that the words we use affect how well, and how quickly, people understand. And that affects their health."
Remote working – our story so far,https://www.creative-bridge.com/blog/remote-working-our-story-so-far/,Remote working can divide opinion. Advocates shout about work-life balance and greater productivity; detractors voice suspicion about duvet days or TV watching on employer time. But what’s it really like to work for a fully remote employer?  We became a virtual agency in August 2018.
Migrating from Jekyll+Github Pages to Hugo+Netlify,https://sarasoueidan.com/blog/jekyll-ghpages-to-hugo-netlify/,"During the last 18 months, working on my Web site became a daunting task—be that for developing, redesigning it, writing a blog post, or making updates to my speaking and workshop pages. My then static site generator, Jekyll, is why. And a change has long been overdue..."
"Paint the Picture, Not the Frame: How Browsers Provide Everything Users Need",https://alistapart.com/article/paint-the-picture-not-the-frame,"Kip Williams, professor of psychology sciences at Purdue University, conducted a fascinating experiment called “cyberball.” In his experiment, a test subject and two other participants played a computer game of catch."
Jameela Jamil | The 2019 MAKERS Conference,https://www.makers.com/videos/5c5cc14e0822e82b3d2c5787,"ANNOUNCER: Please welcome Jameela Jamil. [MUSIC PLAYING] JAMEELA JAMIL: You're going to make me cry. I get very nervous doing public speaking on my own. But hello, everyone. I hope you're well. Today I'm going to speak about men, which I know isn't necessarily the theme of the day."
Personal sites are awesome!,http://personalsit.es,"Personal sites are awesome, so this site was built so we can all discover each other's.  Want your site to appear on here? Go ahead and submit it on GitHub."
Table Design Patterns On The Web,https://www.smashingmagazine.com/2019/01/table-design-patterns-web/,"Upgrade your inbox and get our editors’ picks twice a month. Tables are a design pattern for displaying large amounts of data in rows and columns, and have not yet seemed to fall out of favor, so let’s take a look at how we can create tables on the web in 2019."
Make it Boring,https://jeremy.codes/blog/make-it-boring/,"A good case can be made for why boring can be preferable to exciting. Read about the subprime mortgage crisis sometime, and you'll see that things got hairy because someone, somewhere, thought that investing in mortgage-backed securities should be less boring and more exciting."
All you need to know about whiteboard markers,https://medium.com/graphicfacilitation/all-you-need-to-know-about-whiteboard-markers-2a25d1249911,"Maybe hundreds of thousands of people are using whiteboards everyday to communicate, create and innovate. It has been too long that whiteboard markers stayed overlooked and the time has come to shed some light on these humble pawns of strategic office play."
mozdevs/cssremedy,https://github.com/mozdevs/cssremedy,Start your project with a remedy for the technical debt of CSS. A gift to you from Mozilla Developer Outreach. We'd love to have you contribute to this project. Create or comment on an issue.
Using persona profiles to test accessibility,https://accessibility.blog.gov.uk/2019/02/11/using-persona-profiles-to-test-accessibility/,"In 2017, the Accessibility Team at the Government Digital Service (GDS) created accessibility personas to highlight common barriers faced by people with particular conditions and provide tips on how to design for them."
Using persona profiles to test accessibility,https://accessibility.blog.gov.uk/2019/02/11/using-persona-profiles-to-test-accessibility/,"In 2017, the Accessibility Team at the Government Digital Service (GDS) created accessibility personas to highlight common barriers faced by people with particular conditions and provide tips on how to design for them."
,https://insidegovuk.blog.gov.uk/2018/05/03/firebreaks-on-gov-uk/,"Firebreaks on GOV.UK are similar to Google’s 20% time or Spotify’s hack week. For 1 week every 3 months, teams disband and everyone is given a chance to have some self-directed time to improve GOV.UK. We’ve had 3 firebreaks now: June, September and December 2017."
Design Thinking,https://designthinking.ideo.com/,The myth of leadership is that it has to be top-down. The CEO has all the answers and leads by handing down mandates. But any chief who thinks he or she has all the answers is limiting the scope of the operation.
Sheety - Turn your Google Sheet into an API,https://sheety.co,"Power websites, apps, or whatever you like, all from a spreadsheet. Changes to your spreadsheet update your API in realtime. Neat. First publish your Google sheet to the web by going to File > Publish to the web..."
Design Systems Architecture Diagrams,https://medium.com/eightshapes-llc/design-systems-architecture-diagrams-3fc13ec979e3,"So many enterprises present ecosystems far more complex than “one design system, all our products.” More and more, I’ve found discussions across groups and systems leaders challenging."
"Content design: planning, writing and managing content",https://www.gov.uk/guidance/content-design/image-copyright-standards-for-gov-uk#producing-diagrams,Alt text is used as an alternative to an image for people who use screen readers. Use alt text where you need to help users understand the visual content. Do not always make the alt text a literal description of the image: think about what point the image is making.
Maturing User Research,https://emmaboulton.co.uk/writing/maturing-user-research,"Last Summer I was asked to write a strategy for a second stage interview for a Head of Research role. I spent around a fortnight putting something together. I was unsuccessful (in fact, the company changed their hiring plan and didn't appoint anyone)."
Facilitation feedback tool,https://emilywebber.co.uk/facilitation-feedback-tool/,Many of us facilitate workshops or agile habits regularly and we know if a workshop has gone well if the outcomes are useful. There are also lots of elements of facilitation that we don’t often get feedback on. So here is a tool I use to help think about and frame facilitation feedback.
How the GOV.UK Design System can work alongside other government design resources,https://designnotes.blog.gov.uk/2019/02/14/how-the-gov-uk-design-system-can-work-alongside-other-government-design-resources/,We introduced the GOV.UK Design System with a clear goal in mind. To reduce duplication of effort and inconsistency by providing one place for teams to find the things they need to design government services. It’s been 6 months since the GOV.
State Of Remote Work,https://buffer.com/state-of-remote-work-2019,The State of Remote Work is Buffer's annual report that showcases the world of remote workers and seeks to understand them.
"February 15th, 2019",https://adactio.com/notes/14815,Progressive enhancement. Marking up (and styling) an interactive timeline that looks good in a modern browser and still works in the first ever web browser.
Designing a slide deck template,https://www.projectsbyif.com/blog/things-think-about-when-designing-standard-deck-template,"IF’s decks begin with a title slide, followed by an index slide. We divide our decks by sections and the index slide is where you give the audience an overview of those sections: nobody likes surprises."
WorldWideWeb,https://adactio.com/journal/14821,Nine people came together at CERN for five days and made something amazing. I still can’t quite believe it.
Prioritizing “Non-Feature” Work and Continuous Improvement,https://hackernoon.com/prioritizing-non-feature-work-and-continuous-improvement-bad2a612d860,"Note: I transcribed this post from a coaching/training session. Hopefully the conversational style works OK, and it isn’t too choppy. Also, I am very sleep deprived due to the new baby! Which means I’m terrible at proofreading. But in the spirit of continuous delivery … :)"
Checklist,https://alphagov.github.io/checklist.html,To meet WCAG 2.0 to level AA you must be able to answer YES or Not Applicable to all of the following questions.
DEFRA/dst-guides,https://github.com/DEFRA/dst-guides,"These guides relate to the work of Digital Service Teams (DST) in the Environment Agency who are building new Digital by default services. They cover processes, decisions, how-to's and notes."
API design guidance,https://www.gov.uk/government/collections/api-design-guidance,"Guidance on designing, building and running application programming interfaces (APIs), as well as standards for delivering the best service to users."
Notes from a Policy and Service Design teams workshop,https://medium.com/@liammcmurray/notes-from-a-policy-and-service-design-teams-workshop-139b7e62217b,"Last week, I attended a workshop run by GDS Academy that set out to help people working in Policy and Service Design to better understand each other. It was the second of two (the first one provided insight and empathy into what it was like working in Policy, it was excellent)."
When programming was no longer fun,https://dev.to/carlhembrough/programming-used-to-be-fun,"I loved programming. I loved being able to create something out of nothing. Solving the puzzle of the program and seeing it come to life. Constantly learning new things while hours flew by, and better yet I was paid for it.  Somewhere along the line it stopped being fun."
