name,url,description
Your Talk of the Year?,https://medium.com/@cassierobinson/your-talk-of-the-year-2dac396b926a,"One of the things I noticed last year is how often people who are on the speaking circuit basically give the same talk, over, and over again."
Changing the name of a service,https://digitalhealth.blog.gov.uk/2019/01/04/changing-the-name-of-a-service/,"Hi, I'm Colin and I'm working on improving Healthy Start which assists vulnerable parents and children to get access to milk, fruit, vegetables and infant formula. This blog post is about how and why the team is changing the name of the service."
Stepping away from Sass,https://cathydutton.co.uk/posts/why-i-stopped-using-sass,"I try to rebuild or redesign my website at least once every year, it's a great way to keep up to date with HTML and CSS advances as well as workflows and site generators. I launched the latest version last month moving from Jekyll and Github pages to Eleventy and Netlify."
Interact London 2019,https://www.eventbrite.co.uk/e/52146940904,"Interact London is a leading design conference that explores the roles that digital design, user experience, artificial intelligence, strategy, and everything in between play in today's society."
Introducing progression.monzo.com!,https://monzo.com/blog/2019/01/07/progression/,A progression framework is a tool that maps people's competencies (their skills and knowledge) to compensation (how they're rewarded for them financially).
The Design Sprint Canvas,https://clearleft.com/posts/the-design-sprint-canvas,We've been running Design Sprints for a long time at Clearleft and are constantly reminded of their power and ability to tackle challenges and test out hypotheses - essentially fast-tracking processes which traditional may have taken considerably longer.
Communities of Practice: The Missing Piece of Your Agile Organisation,https://www.infoq.com/articles/communities-of-practice-agile-organisation,Communities of practice regularly bring together people who share areas of interest or concerns. They are loose structures that support their members and the organisation's development of those areas. They often form around a specific job role but can also centre on a specific area of interest.
You don't know what you're missing without session replay.,https://www.fullstory.com/?&utm_medium=search&utm_source=adwords&utm_campaign=brand-uk&utm_content=brand-em&utm_term=full%20story&gclid=CjwKCAiA99vhBRBnEiwAwpk-uJPjOUJKDVIfm3f0CfVsAhktJYEegcGEQTiqoKCVy5IevfHC8UUabxoCnk8QAvD_BwE,"Replay removes the guesswork from reproducing bugs by providing a detailed console log of JavaScript errors with every session recording. Press play for real-time QA, debugging, and issue tracking to give your developers back their time."
Understanding services through user needs,https://pds.blog.parliament.uk/2019/01/11/understanding-services-through-user-needs%e2%80%af/,Understanding the needs of our users is an integral part of building a service that works for everyone. You may have seen blog posts from the user research team documenting our work towards a better understanding of our users' needs for the UK Parliament website.
BEM for everyone else,https://medium.com/@davehouse_80809/bem-for-everyone-else-89ccc8ad66f2,I'd heard the term Block Element Modifier (BEM) used by many of the frontend developers I've worked with over the years. It wasn't until I started on my current project that I actually needed to understand what it was or what the benefits of using it might be.
Accessible SVG flowcharts,https://tink.uk/accessible-svg-flowcharts/,The accessible SVG line graphs post explains how to use ARIA table semantics to make that form of data visualisation accessible to screen readers. This article uses the same ARIA based approach to make a screen reader accessible SVG flowchart.
