"name","url","description"
"The hidden cost of design tasks","https://medium.com/@msjaneaustin/oh-god-help-us-not-another-thing-on-design-tasks-60fb3552ac55","It’s a strange thing, being diagnosed with a chronic disease. At first there’s just such relief, that this collection of horribleness has a name, and that its not ‘all in your mind’, or ‘stress’."
"Kickoff Kit: Tools to Help Teams Work Better Together","https://open.nytimes.com/kickoff-kit-tools-to-help-teams-work-better-together-3ca6a06b4fc2","In order to build products successfully and quickly, your team has to work well together. But so often teams dive into projects without recognizing how each member best operates or what everyone is working towards."
"How we document components and patterns in the GOV.UK Design System","https://designnotes.blog.gov.uk/2018/11/05/how-we-document-components-and-patterns-in-the-gov-uk-design-system/","We’ve talked before about the GOV.UK Design System and how we’ve worked to make everything it contains accessible, easy to implement and of a high quality. But just as important as the design and code is the documentation that explains how to use it."
"Design Systems: Mastering Design at Scale","https://bigmedium.com/ideas/design-systems-mastering-design-at-scale-video.html","Here’s a gift for you: years and years of experience building design systems, molded into a gorgeous video series. I teamed up with Brad Frost, Dan Mall and InVision to create Design Systems: Mastering Design at Scale, a set of videos to help you plan, build, use, and maintain design systems."
"Improving Readability With Bigger Fonts and Higher Contrast","https://cushionapp.com/journal/improving-readability","The title of this post should include a “duh”, but hear me out. A few weeks ago, something hit me—our fonts are too small. By accident, I hit cmd+plus in the browser, which bumped our fonts to 110%, and everything felt better."
"The Business Case for Digital Accessibility","https://www.w3.org/WAI/business-case/","This article examines the rationale for organizations to address accessibility. It includes tangible and intangible benefits, and the risks of not addressing accessibility adequately. It explores how accessibility can:"
"UX Debt: How to Identify, Prioritize, and Resolve","https://www.nngroup.com/articles/ux-debt/","Continually prioritizing fast and easy solutions may help us hit release dates in the short term, but over time, repeatedly choosing shortcuts will leave us with mounting experience issues that adversely impact our users."
"Product People West & South: Product for APIs, what’s the difference?","https://digitalblog.ons.gov.uk/2018/11/14/product-people-west-south-product-for-apis-whats-the-difference/","As part of CMD (Customise my data) I was given the opportunity to choose which of out two teams I wanted to lead. I chose to focus on the APIs as this was the area I felt my knowledge was weakest."
"Prompts for design leaders working with product teams","https://medium.com/@BenHolliday/prompts-for-design-leaders-working-with-product-teams-4345c5dea8df","When working with product teams, the job of a design leader is to make quick and accurate assessments about the focus and quality of the work being presented back to them. You should be able to answer the following questions."
"Digital Land","https://digital-land.github.io/","Prototype This is a prototype. Digital Land is a team at the Ministry of Housing, Communities & Local Government working to improve land and housing data for the emerging proptech sector."
"11 more things to hate about hotels – iterate","http://www.iterate.org.uk/11-more-things-to-hate-about-hotels/","This week, I had to spend time in more than one hotel for work-related reasons. Whilst undergoing this trial, I read Sharon’s inspired post about UX anti-patterns in hotels."
"Design System London: Accessibility in the GOV.UK Design System","https://nickcolley.co.uk/2018/11/16/accessibility-in-the-govuk-design-system.html","I’ve put together some of the tweets in a Twitter moment, if you’re into that. All the sources are linked from the speakers notes in the footnotes."
"5 Questions with Giorgia Lupi","https://open.nytimes.com/5-questions-with-giorgia-lupi-23e2ba972fd8","On October 18th, Giorgia Lupi, award-winning information designer, co-author of the book “Dear Data” and founder of Accurat, a data-driven design firm, stopped by the Times office to talk about her work and career."
"White-label agile wall templates","https://medium.com/@paulmsmith/white-label-wall-templates-1cdec749dae6","In “Agile walls what are they good for?” I wrote about the value of physical “agile walls”. However I often find a barrier to teams using them (and staying engaged with them) is the work needed to create and regularly update them."
"A rota for retrospectives","https://digitalhealth.blog.gov.uk/2018/11/21/a-rota-for-retrospectives/","In agile teams, the ‘retrospective’ is an essential – maybe the most essential - meeting we have. At the end of every two week sprint, we get together for an hour to reflect on how the work got done so that we can learn from it."
"Learning to enjoy the size of the problem","http://www.hollidazed.co.uk/2016/07/11/learning-to-enjoy-the-size-of-the-problem/","Some thoughts about having fun at work.  Last week I had a good time speaking at a Glug event in Reading."
"Authoring Tool Accessibility Guidelines (ATAG) Overview","https://www.w3.org/WAI/standards-guidelines/atag/","This page introduces the Authoring Tool Accessibility Guidelines (ATAG) web standard.  Authoring tools are software and services that “authors” (web developers, designers, writers, etc.) use to produce web content (static web pages, dynamic web applications, etc.)."
"Make Technology Work for Everyone: introducing digital accessibility","https://www.youtube.com/watch?v=8Ik_LHmZx8Y&feature=youtu.be","This short animated film provides• A short introduction to digital accessibility,• Some reasons why digital inclusion is important,• 15 tips to help you start making your digital technology more accessible, usable, and inclusive.For more information, references and resources - including tools"
"Voxxed Thessaloniki 2018 - Automated Visual Testing: The Missing Part of your CI Pipeline?","https://www.youtube.com/watch?v=6YupsPD2gcU","Voxxed Thessaloniki 2018 - Automated Visual Testing: The Missing Part of your CI Pipeline? by Viv Richards"
"Loyal to the network [redux]","https://productforthepeople.xyz/loyal-to-the-network-redux-9df296cc69c6","A few years ago now I read something by Emer Coleman that really struck a chord with me — this idea of being ’loyal to the network’ rather than to particular employers."
"What if boldness were an explicit value of the civil service?","https://medium.com/public-innovators-network/what-if-boldness-were-an-explicit-value-of-the-civil-service-3df6a3d2d008","I’ve been thinking a lot recently about what it takes to get difficult and meaningful things done. Why it’s hard, exhausting and incredibly rewarding to make progress."
"Local boundaries in England: What is ‘place’?","https://commonslibrary.parliament.uk/parliament-and-elections/devolution/local-boundaries-in-england-what-is-place/","In the last few years, a number of think-tanks have addressed the effects of Government policy on ‘place’. Concerns have centred around spatial variations in GDP across the UK, identifying public spending within a given area, and variations in productivity."
"UX is negotiation","http://apgrimes.co.uk/2018/11/17/ux-is-negotiation/","If you were to say that someone was a good UX practitioner, you could mean a great many things. For example, you could be thinking of their ability to run a workshop, an interview or a testing session. You could be thinking of their prototyping, visual or interaction design skills."
"Variable Fonts and Wide-Screen Layouts: Adopting Data-Driven Progressive Enhancements","https://www.nngroup.com/articles/variable-fonts-wide-screen-layout/","We recently updated our website homepage, and, in addition to changing the content and visual design, we’ve incorporated two major technical changes: adding a new layout for users with wide screens, and using a variable font."
"Product Land (Part 3)","http://blog.memespring.co.uk/2015/09/14/product-land-part-3/","This is the 3rd and final part of an essay about design and possibilities."
